Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 21.88      0.21     0.21  4689268     0.00     0.00  boost::detail::shared_count::~shared_count()
 18.75      0.39     0.18                             Dodge::Renderer::render()
  6.25      0.45     0.06 15632775     0.00     0.00  boost::shared_ptr<Dodge::Renderer::Model>::operator->() const
  6.25      0.51     0.06  4685166     0.00     0.00  boost::shared_ptr<Dodge::Renderer::Model>::shared_ptr<Dodge::Renderer::Model>(boost::shared_ptr<Dodge::Renderer::Model> const&, boost::detail::sp_enable_if_convertible<Dodge::Renderer::Model, Dodge::Renderer::Model>::type)
  5.73      0.56     0.06  4685168     0.00     0.00  boost::detail::shared_count::shared_count(boost::detail::shared_count const&)
  4.17      0.60     0.04  1562752     0.00     0.00  __gnu_cxx::__normal_iterator<boost::shared_ptr<Dodge::Renderer::Model>*, std::vector<boost::shared_ptr<Dodge::Renderer::Model>, std::allocator<boost::shared_ptr<Dodge::Renderer::Model> > > >::__normal_iterator(boost::shared_ptr<Dodge::Renderer::Model>* const&)
  4.17      0.65     0.04  1562224     0.00     0.00  bool __gnu_cxx::operator==<boost::shared_ptr<Dodge::Renderer::Model>*, std::vector<boost::shared_ptr<Dodge::Renderer::Model>, std::allocator<boost::shared_ptr<Dodge::Renderer::Model> > > >(__gnu_cxx::__normal_iterator<boost::shared_ptr<Dodge::Renderer::Model>*, std::vector<boost::shared_ptr<Dodge::Renderer::Model>, std::allocator<boost::shared_ptr<Dodge::Renderer::Model> > > > const&, __gnu_cxx::__normal_iterator<boost::shared_ptr<Dodge::Renderer::Model>*, std::vector<boost::shared_ptr<Dodge::Renderer::Model>, std::allocator<boost::shared_ptr<Dodge::Renderer::Model> > > > const&)
  3.12      0.68     0.03  4685168     0.00     0.00  boost::detail::atomic_increment(int*)
  3.12      0.70     0.03  1561722     0.00     0.00  __gnu_cxx::new_allocator<boost::shared_ptr<Dodge::Renderer::Model> >::construct(boost::shared_ptr<Dodge::Renderer::Model>*, boost::shared_ptr<Dodge::Renderer::Model> const&)
  3.12      0.73     0.03  1561722     0.00     0.00  std::vector<boost::shared_ptr<Dodge::Renderer::Model>, std::allocator<boost::shared_ptr<Dodge::Renderer::Model> > >::push_back(boost::shared_ptr<Dodge::Renderer::Model> const&)
