Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  2.60      0.76     0.03  4689261     0.00     0.00  boost::shared_ptr<Dodge::Renderer::Model>::~shared_ptr()
  2.08      0.78     0.02  1562224     0.00     0.00  Dodge::Renderer::SceneGraph::end()
  2.08      0.80     0.02  1561723     0.00     0.00  Dodge::Renderer::setMode(Dodge::Renderer::mode_t)
  2.08      0.82     0.02  1561722     0.00     0.00  Dodge::Renderer::SceneGraph::iterator::operator*()
  2.08      0.84     0.02  1561722     0.00     0.00  Dodge::Renderer::SceneGraph::iterator::operator++()
  2.08      0.86     0.02        2    10.00    10.00  std::map<Dodge::Renderer::mode_t, int, std::less<Dodge::Renderer::mode_t>, std::allocator<std::pair<Dodge::Renderer::mode_t const, int> > >::operator[](Dodge::Renderer::mode_t&&)
  1.56      0.88     0.01  1565817     0.00     0.00  void std::_Destroy<boost::shared_ptr<Dodge::Renderer::Model> >(boost::shared_ptr<Dodge::Renderer::Model>*)
  1.04      0.89     0.01  4685168     0.00     0.00  boost::detail::sp_counted_base::add_ref_copy()
  1.04      0.90     0.01  3124500     0.00     0.00  __gnu_cxx::__normal_iterator<boost::shared_ptr<Dodge::Renderer::Model>*, std::vector<boost::shared_ptr<Dodge::Renderer::Model>, std::allocator<boost::shared_ptr<Dodge::Renderer::Model> > > >::base() const
  1.04      0.91     0.01  1562224     0.00     0.00  Dodge::Renderer::SceneGraph::iterator::operator==(Dodge::Renderer::SceneGraph::iterator const&) const
  1.04      0.92     0.01  1561722     0.00     0.00  __gnu_cxx::__normal_iterator<boost::shared_ptr<Dodge::Renderer::Model>*, std::vector<boost::shared_ptr<Dodge::Renderer::Model>, std::allocator<boost::shared_ptr<Dodge::Renderer::Model> > > >::operator++()
  1.04      0.93     0.01  1561722     0.00     0.00  Dodge::Renderer::primitiveToGLType(Dodge::Renderer::primitive_t) const
  1.04      0.94     0.01  1561722     0.00     0.00  boost::shared_ptr<Dodge::Camera>::operator->() const
  1.04      0.94     0.01                             Dodge::Renderer::stageModel(boost::shared_ptr<Dodge::Renderer::Model>)
  0.52      0.95     0.01  1569912     0.00     0.00  boost::shared_ptr<Dodge::Renderer::Model>* std::__addressof<boost::shared_ptr<Dodge::Renderer::Model> >(boost::shared_ptr<Dodge::Renderer::Model>&)
  0.52      0.95     0.01  1562224     0.00     0.00  Dodge::Renderer::SceneGraph::iterator::operator!=(Dodge::Renderer::SceneGraph::iterator const&) const
  0.52      0.96     0.01     4097     0.00     0.00  boost::detail::shared_count::shared_count()
  0.00      0.96     0.00  1565819     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.96     0.00  1562726     0.00     0.00  Dodge::Renderer::SceneGraph::iterator::iterator(Dodge::Renderer::SceneGraph*, __gnu_cxx::__normal_iterator<boost::shared_ptr<Dodge::Renderer::Model>*, std::vector<boost::shared_ptr<Dodge::Renderer::Model>, std::allocator<boost::shared_ptr<Dodge::Renderer::Model> > > >)
  0.00      0.96     0.00  1562237     0.00     0.00  std::vector<boost::shared_ptr<Dodge::Renderer::Model>, std::allocator<boost::shared_ptr<Dodge::Renderer::Model> > >::end()
  0.00      0.96     0.00  1561726     0.00     0.00  cml::fixed_2D<float, 4, 4, cml::col_major>::data() const
  0.00      0.96     0.00  1561722     0.00     0.00  Dodge::Renderer::SceneGraph::insert(boost::shared_ptr<Dodge::Renderer::Model>)
  0.00      0.96     0.00  1561722     0.00     0.00  Dodge::Camera::getMatrix() const
  0.00      0.96     0.00  1561722     0.00     0.00  __gnu_cxx::__normal_iterator<boost::shared_ptr<Dodge::Renderer::Model>*, std::vector<boost::shared_ptr<Dodge::Renderer::Model>, std::allocator<boost::shared_ptr<Dodge::Renderer::Model> > > >::operator*() const
  0.00      0.96     0.00     8242     0.00     0.00  std::move_iterator<boost::shared_ptr<Dodge::Renderer::Model>*>::base() const
  0.00      0.96     0.00     4121     0.00     0.00  bool std::operator==<boost::shared_ptr<Dodge::Renderer::Model>*>(std::move_iterator<boost::shared_ptr<Dodge::Renderer::Model>*> const&, std::move_iterator<boost::shared_ptr<Dodge::Renderer::Model>*> const&)
  0.00      0.96     0.00     4121     0.00     0.00  bool std::operator!=<boost::shared_ptr<Dodge::Renderer::Model>*>(std::move_iterator<boost::shared_ptr<Dodge::Renderer::Model>*> const&, std::move_iterator<boost::shared_ptr<Dodge::Renderer::Model>*> const&)
  0.00      0.96     0.00     4098     0.00     0.00  boost::detail::shared_count::swap(boost::detail::shared_count&)
  0.00      0.96     0.00     4095     0.00     0.00  boost::shared_ptr<Dodge::Renderer::Model>::shared_ptr(boost::shared_ptr<Dodge::Renderer::Model>&&)
  0.00      0.96     0.00     4095     0.00     0.00  std::move_iterator<boost::shared_ptr<Dodge::Renderer::Model>*>::operator*() const
  0.00      0.96     0.00     4095     0.00     0.00  std::move_iterator<boost::shared_ptr<Dodge::Renderer::Model>*>::operator++()
  0.00      0.96     0.00     4095     0.00     0.00  void std::_Construct<boost::shared_ptr<Dodge::Renderer::Model>, boost::shared_ptr<Dodge::Renderer::Model> >(boost::shared_ptr<Dodge::Renderer::Model>*, boost::shared_ptr<Dodge::Renderer::Model>&&)
  0.00      0.96     0.00     4095     0.00     0.00  std::remove_reference<boost::shared_ptr<Dodge::Renderer::Model>&>::type&& std::move<boost::shared_ptr<Dodge::Renderer::Model>&>(boost::shared_ptr<Dodge::Renderer::Model>&)
  0.00      0.96     0.00     4095     0.00     0.00  boost::shared_ptr<Dodge::Renderer::Model>&& std::forward<boost::shared_ptr<Dodge::Renderer::Model> >(std::remove_reference<boost::shared_ptr<Dodge::Renderer::Model> >::type&)
  0.00      0.96     0.00     3114     0.00     0.00  boost::detail::sp_counted_base::destroy()
  0.00      0.96     0.00     3111     0.00     0.00  Dodge::Renderer::bufferModel(boost::shared_ptr<Dodge::Renderer::Model>)
  0.00      0.96     0.00     3111     0.00     0.00  boost::detail::sp_counted_impl_p<Dodge::Renderer::Model>::dispose()
  0.00      0.96     0.00     3111     0.00     0.00  boost::detail::sp_counted_impl_p<Dodge::Renderer::Model>::~sp_counted_impl_p()
  0.00      0.96     0.00      541     0.00     0.00  std::_Vector_base<boost::shared_ptr<Dodge::Renderer::Model>, std::allocator<boost::shared_ptr<Dodge::Renderer::Model> > >::_M_get_Tp_allocator()
  0.00      0.96     0.00      515     0.00     0.19  void std::_Destroy_aux<false>::__destroy<boost::shared_ptr<Dodge::Renderer::Model>*>(boost::shared_ptr<Dodge::Renderer::Model>*, boost::shared_ptr<Dodge::Renderer::Model>*)
  0.00      0.96     0.00      515     0.00     0.00  std::vector<boost::shared_ptr<Dodge::Renderer::Model>, std::allocator<boost::shared_ptr<Dodge::Renderer::Model> > >::begin()
  0.00      0.96     0.00      515     0.00     0.19  void std::_Destroy<boost::shared_ptr<Dodge::Renderer::Model>*>(boost::shared_ptr<Dodge::Renderer::Model>*, boost::shared_ptr<Dodge::Renderer::Model>*)
  0.00      0.96     0.00      515     0.00     0.19  void std::_Destroy<boost::shared_ptr<Dodge::Renderer::Model>*, boost::shared_ptr<Dodge::Renderer::Model> >(boost::shared_ptr<Dodge::Renderer::Model>*, boost::shared_ptr<Dodge::Renderer::Model>*, std::allocator<boost::shared_ptr<Dodge::Renderer::Model> >&)
  0.00      0.96     0.00      503     0.00     0.00  Dodge::RenderBrush::setFillColour(Dodge::Colour const&)
  0.00      0.96     0.00      503     0.00     0.00  Dodge::Renderer::clear()
  0.00      0.96     0.00      503     0.00     0.00  Dodge::Graphics2d::setFillColour(Dodge::Colour const&) const
  0.00      0.96     0.00      503     0.00     0.00  boost::shared_ptr<Dodge::RenderBrush>::operator->() const
  0.00      0.96     0.00      502     0.00     0.00  Dodge::Renderer::SceneGraph::begin()
  0.00      0.96     0.00      502     0.00     0.19  Dodge::Renderer::SceneGraph::clear()
  0.00      0.96     0.00      502     0.00     0.19  std::vector<boost::shared_ptr<Dodge::Renderer::Model>, std::allocator<boost::shared_ptr<Dodge::Renderer::Model> > >::_M_erase_at_end(boost::shared_ptr<Dodge::Renderer::Model>*)
  0.00      0.96     0.00      502     0.00     0.19  std::vector<boost::shared_ptr<Dodge::Renderer::Model>, std::allocator<boost::shared_ptr<Dodge::Renderer::Model> > >::clear()
  0.00      0.96     0.00      107     0.00     0.00  std::_Select1st<std::pair<Dodge::WinIO::winEvent_t const, std::vector<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>, std::allocator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_> > > > >::operator()(std::pair<Dodge::WinIO::winEvent_t const, std::vector<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>, std::allocator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_> > > > const&) const
  0.00      0.96     0.00      107     0.00     0.00  std::less<Dodge::WinIO::winEvent_t>::operator()(Dodge::WinIO::winEvent_t const&, Dodge::WinIO::winEvent_t const&) const
  0.00      0.96     0.00      106     0.00     0.00  std::_Rb_tree_iterator<std::pair<Dodge::WinIO::winEvent_t const, std::vector<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>, std::allocator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_> > > > >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<Dodge::WinIO::winEvent_t const, std::vector<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>, std::allocator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_> > > > >*)
  0.00      0.96     0.00      102     0.00     0.00  __gnu_cxx::__normal_iterator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>*, std::vector<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>, std::allocator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_> > > >::base() const
  0.00      0.96     0.00       80     0.00     0.00  std::_Rb_tree<Dodge::WinIO::winEvent_t, std::pair<Dodge::WinIO::winEvent_t const, std::vector<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>, std::allocator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_> > > >, std::_Select1st<std::pair<Dodge::WinIO::winEvent_t const, std::vector<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>, std::allocator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_> > > > >, std::less<Dodge::WinIO::winEvent_t>, std::allocator<std::pair<Dodge::WinIO::winEvent_t const, std::vector<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>, std::allocator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_> > > > > >::_S_key(std::_Rb_tree_node<std::pair<Dodge::WinIO::winEvent_t const, std::vector<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>, std::allocator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_> > > > > const*)
  0.00      0.96     0.00       80     0.00     0.00  std::_Rb_tree<Dodge::WinIO::winEvent_t, std::pair<Dodge::WinIO::winEvent_t const, std::vector<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>, std::allocator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_> > > >, std::_Select1st<std::pair<Dodge::WinIO::winEvent_t const, std::vector<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>, std::allocator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_> > > > >, std::less<Dodge::WinIO::winEvent_t>, std::allocator<std::pair<Dodge::WinIO::winEvent_t const, std::vector<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>, std::allocator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_> > > > > >::_S_value(std::_Rb_tree_node<std::pair<Dodge::WinIO::winEvent_t const, std::vector<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>, std::allocator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_> > > > > const*)
